=====================================================================================
LISTA DE MEDICAMENTOS CONTROLADOS - ORDEM ALFABÉTICA (sem considerar acentos)
Fonte: RDC 999/2025 e IN 360/2025
=====================================================================================

Total de medicamentos: 610

  1. Acepromazina                                       | C1 - Outras Substâncias de Controle Especial
  2. Acetildiidrocodeína                                | A2 - Entorpecentes de Uso Especial
  3. Acetilmetadol                                      | A1 - Entorpecentes
  4. ácido clavulânico                                  | Antimicrobianos
  5. ácido fusídico                                     | Antimicrobianos
  6. ácido nalidíxico                                   | Antimicrobianos
  7. ácido oxolínico                                    | Antimicrobianos
  8. ácido pipemídico                                   | Antimicrobianos
  9. Ácido valpróico                                    | C1 - Outras Substâncias de Controle Especial
 10. Acitretina                                         | C2 - Retinóicos
 11. Adapaleno                                          | C2 - Retinóicos
 12. Agomelatina                                        | C1 - Outras Substâncias de Controle Especial
 13. Alfacetilmetadol                                   | A1 - Entorpecentes
 14. Alfameprodina                                      | A1 - Entorpecentes
 15. Alfametadol                                        | A1 - Entorpecentes
 16. Alfaprodina                                        | A1 - Entorpecentes
 17. Alfaxalona                                         | B1 - Psicotrópicos
 18. Alfentanila                                        | A1 - Entorpecentes
 19. Alilprodina                                        | A1 - Entorpecentes
 20. Alobarbital                                        | B1 - Psicotrópicos
 21. Alprazolam                                         | B1 - Psicotrópicos
 22. Amantadina                                         | C1 - Outras Substâncias de Controle Especial
 23. amicacina                                          | Antimicrobianos
 24. Amineptina                                         | B1 - Psicotrópicos
 25. Aminorex                                           | B2 - Anorexígenos
 26. Amissulprida                                       | C1 - Outras Substâncias de Controle Especial
 27. Amitriptilina                                      | C1 - Outras Substâncias de Controle Especial
 28. Amobarbital                                        | B1 - Psicotrópicos
 29. Amoxapina                                          | C1 - Outras Substâncias de Controle Especial
 30. amoxicilina                                        | Antimicrobianos
 31. ampicilina                                         | Antimicrobianos
 32. Androstanolona                                     | C5 - Anabolizantes
 33. Anfepramona                                        | B2 - Anorexígenos
 34. Anfetamina                                         | A3 - Substâncias Psicotrópicas
 35. Anileridina                                        | A1 - Entorpecentes
 36. Aprobarbital                                       | B1 - Psicotrópicos
 37. Aripiprazol                                        | C1 - Outras Substâncias de Controle Especial
 38. Armodafinila                                       | B1 - Psicotrópicos
